source_id,group,author,title,published,modified,url,type,evidence_strength,access_date,access_note,lesson
R01,Scoring and judge validity,Eugene Yan,Evaluating the Effectiveness of LLM-Evaluators (aka LLM-as-Judge),2024-08-18,,https://eugeneyan.com/writing/llm-evaluators/,Blog,Literature survey,2026-09-14,Original text reviewed; exact day from article:published_time and author metadata; citation block confirms month/year.,"Choose direct, pairwise, or reference judgments for the decision. Compare classification errors as well as agreement. Surveyed tasks and models differ; no method is universally best."
R02,Scoring and judge validity,Eugene Yan,"AlignEval: Building an App to Make Evals Easy, Fun, and Automated",2024-10-27,,https://eugeneyan.com/writing/aligneval/,Blog,Implementation report; small demonstration,2026-09-14,Original text reviewed; exact day from article:published_time and author metadata; citation block confirms month/year.,"Inspect and label examples before optimizing a judge, then check separate test data. The working tool demonstrates feasibility; its small experiment does not establish general reliability."
R03,Scoring and judge validity,Eugene Yan,Product Evals in Three Simple Steps,2025-11-23,,https://eugeneyan.com/writing/product-evals/,Blog,Practitioner guidance,2026-09-14,Original text reviewed; exact day from article:published_time and author metadata; citation block confirms month/year.,"Use interpretable criteria, dimension-specific judges, and order checks for comparisons. Failure-enriched examples help debugging but do not estimate production prevalence; binary scoring remains a practical default."
R04,Scoring and judge validity,Chip Huyen,Common pitfalls when building generative AI applications,2025-01-16,,https://huyenchip.com/2025/01/16/ai-engineering-pitfalls.html,Blog,Experience and case synthesis,2026-09-14,Original publisher text and byline/date reviewed.,Keep independent human inspection alongside automated judges and revisit alignment after changes. The advice comes from experience; review cadence and sample sizes must fit the application.
R05,Scoring and judge validity,Lilian Weng,Extrinsic Hallucinations in LLMs,2024-07-07,,https://lilianweng.github.io/posts/2024-07-07-hallucination/,Blog,Literature survey,2026-09-14,Original publisher text and byline/date reviewed.,"Separate source consistency, external factuality, and uncertainty. Atomic claims make verification inspectable, but extraction and sources can fail; this survey does not measure v-eval accuracy."
R06,Scoring and judge validity,Lilian Weng,Reward Hacking in Reinforcement Learning,2024-11-28,,https://lilianweng.github.io/posts/2024-11-28-reward-hacking/,Blog,Literature survey,2026-09-14,Original publisher text and byline/date reviewed.,Challenge whether score improvements preserve the intended outcome. Protect independent checks against feedback-loop exploitation. Training experiments motivate tests but cannot supply failure rates for static reviews.
R07,Scoring and judge validity,Hamel Husain,Using LLM-as-a-Judge For Evaluation: A Complete Guide,2024-10-29,2026-09-01,https://hamel.dev/blog/posts/llm-judge/,Blog,Practitioner guide,2026-09-14,Original publisher text and byline/date reviewed.,"Start with expert decisions and critiques, then validate a judge and inspect failure segments. A coherent single-expert rubric may still miss other stakeholders or mandatory constraints."
R08,Scoring and judge validity,Greg Kamradt,Measuring Human Performance on ARC-AGI-3,2026-04-14,,https://arcprize.org/blog/arc-agi-3-human-dataset,Benchmark-owner report,Controlled study and scoring analysis,2026-09-14,Original publisher text and byline/date reviewed.,"Inspect how normalization and score caps reward actual behavior; human replay data can expose scoring defects. Findings concern this benchmark, not universal document or code quality."
R09,Scoring and judge validity,Hamel Husain; Shreya Shankar,AI Evals: Everything You Need to Know,2025-05-28,2026-09-01,https://hamel.dev/blog/posts/evals-faq/,Living FAQ,Practitioner synthesis,2026-09-14,Original publisher text and byline/date reviewed.,"Turn important observed failures into targeted product evaluations and maintain realistic examples. This living FAQ offers opinionated guidance, not a standard or a universal prescription for every team."
R10,Context and agent behavior,Eugene Yan,Evaluating Long-Context Question & Answer Systems,2025-06-22,,https://eugeneyan.com/writing/qa-evals/,Blog,Literature survey,2026-09-14,Original text reviewed; exact day from article:published_time and author metadata; citation block confirms month/year.,"Evaluate faithfulness, usefulness, citations, and answerability separately across evidence positions and documents. Benchmark findings guide test design; local transfer and claim-extraction quality still require validation."
